iteration,agent,variant_id,scenario_idx,persona,resolved,compliance_score,violations,turns,efficiency,composite_score
0,test_agent,test_v1,0,cooperative,1,1.0,0,3,0.33,0.75
0,test_agent,test_v1,0,cooperative,1,1.0,0,3,0.33,0.75
1,assessment,baseline,0,cooperative,0,1.0,0,2,0.5,0.425
1,assessment,baseline,1,cooperative,0,1.0,0,2,0.5,0.425
1,assessment,baseline,2,evasive,0,1.0,0,2,0.5,0.425
1,assessment,assessment_v20260407_181521_var1,0,cooperative,0,1.0,0,2,0.5,0.425
1,assessment,assessment_v20260407_181521_var1,1,cooperative,0,1.0,0,2,0.5,0.425
1,assessment,assessment_v20260407_181521_var1,2,evasive,0,1.0,0,2,0.5,0.425
1,resolution,baseline,0,cooperative,1,1.0,0,1,1.0,1.0
1,resolution,baseline,1,cooperative,1,1.0,0,1,1.0,1.0
1,resolution,baseline,2,evasive,1,1.0,0,1,1.0,1.0
1,resolution,resolution_v20260407_181725_var1,0,cooperative,1,1.0,0,1,1.0,1.0
1,resolution,resolution_v20260407_181725_var1,1,cooperative,1,1.0,0,1,1.0,1.0
1,resolution,resolution_v20260407_181725_var1,2,evasive,1,1.0,0,1,1.0,1.0
1,final_notice,baseline,0,cooperative,1,1.0,0,1,1.0,1.0
1,final_notice,baseline,1,cooperative,1,1.0,0,1,1.0,1.0
1,final_notice,baseline,2,evasive,1,1.0,0,2,0.5,0.875
1,final_notice,final_notice_v20260407_182146_var1,0,cooperative,1,1.0,0,1,1.0,1.0
1,final_notice,final_notice_v20260407_182146_var1,1,cooperative,1,1.0,0,1,1.0,1.0
1,final_notice,final_notice_v20260407_182146_var1,2,evasive,1,1.0,0,1,1.0,1.0
